Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
PG,Damian Lillard,8100,Uta@Por 09:00PM ET,38.609,Por
PG,Russell Westbrook,8700,Den@OKC 07:00PM ET,54.343,OKC
SF,Kevin Durant,8600,Den@OKC 07:00PM ET,43.481,OKC
C,Marc Gasol,7700,Min@Mem 06:00PM ET,38.014,Mem
C,Andre Drummond,7700,Det@SA 04:00PM ET,37.274,Det
PG,Reggie Jackson,7400,Det@SA 04:00PM ET,30.289,Det
PF,Paul Millsap,7300,Mia@Atl 07:00PM ET,36.154,Atl
PG,Kyle Lowry,7300,Cle@Tor 06:00PM ET,36.811,Tor
C,Al Horford,7100,Mia@Atl 07:00PM ET,33.44,Atl
SF,Kawhi Leonard,7100,Det@SA 04:00PM ET,35.637,SA
PF,Chris Bosh,7000,Mia@Atl 07:00PM ET,36.011,Mia
SG,DeMar DeRozan,7000,Cle@Tor 06:00PM ET,33.438,Tor
C,Rudy Gobert,7000,Uta@Por 09:00PM ET,28.125,Uta
C,Brook Lopez,6900,Phi@Bkn 01:00PM ET,32.324,Bkn
PF,Derrick Favors,6900,Uta@Por 09:00PM ET,33.166,Uta
PG,Jeff Teague,6800,Mia@Atl 07:00PM ET,33.34,Atl
PF,Zach Randolph,6600,Min@Mem 06:00PM ET,33.957,Mem
SG,Dwyane Wade,6600,Mia@Atl 07:00PM ET,34.77,Mia
PG,Mike Conley,6600,Min@Mem 06:00PM ET,29.853,Mem
PF,Nerlens Noel,6600,Phi@Bkn 01:00PM ET,29.383,Phi
PF,Kenneth Faried,6500,Den@OKC 07:00PM ET,28.44,Den
PG,Goran Dragic,6500,Mia@Atl 07:00PM ET,29.397,Mia
PF,Tim Duncan,6400,Det@SA 04:00PM ET,35.851,SA
PF,Serge Ibaka,6400,Den@OKC 07:00PM ET,31.387,OKC
SF,Andrew Wiggins,6300,Min@Mem 06:00PM ET,28.238,Min
PF,Thaddeus Young,6200,Phi@Bkn 01:00PM ET,27.512,Bkn
C,Jonas Valanciunas,6200,Cle@Tor 06:00PM ET,26.452,Tor
C,Karl-Anthony Towns,6200,Min@Mem 06:00PM ET,0,Min
PG,Jarrett Jack,6100,Phi@Bkn 01:00PM ET,24.238,Bkn
C,Mason Plumlee,6000,Uta@Por 09:00PM ET,19.597,Por
PF,Ersan Ilyasova,5900,Det@SA 04:00PM ET,20.844,Det
PG,Emmanuel Mudiay,5900,Den@OKC 07:00PM ET,0,Den
SF,Wilson Chandler,5800,Den@OKC 07:00PM ET,26.67,Den
C,Gorgui Dieng,5800,Min@Mem 06:00PM ET,28.065,Min
SF,DeMarre Carroll,5700,Cle@Tor 06:00PM ET,25.956,Tor
SF,Robert Covington,5700,Phi@Bkn 01:00PM ET,25.321,Phi
PG,Trey Burke,5700,Uta@Por 09:00PM ET,24.796,Uta
PF,Ed Davis,5500,Uta@Por 09:00PM ET,23.051,Por
SF,Joe Johnson,5400,Phi@Bkn 01:00PM ET,28.297,Bkn
PG,Mo Williams,5400,Cle@Tor 06:00PM ET,28.39,Cle
SG,Danny Green,5400,Det@SA 04:00PM ET,24.764,SA
PG,Zach LaVine,5400,Min@Mem 06:00PM ET,19.812,Min
SG,Kyle Korver,5300,Mia@Atl 07:00PM ET,24.775,Atl
SF,Luol Deng,5300,Mia@Atl 07:00PM ET,25.722,Mia
SG,Alec Burks,5300,Uta@Por 09:00PM ET,24.944,Uta
SG,J.R. Smith,5200,Cle@Tor 06:00PM ET,23.844,Cle
PG,C.J. McCollum,5200,Uta@Por 09:00PM ET,12.966,Por
SG,Kentavious Caldwell-Pope,5200,Det@SA 04:00PM ET,21.668,Det
SF,Stanley Johnson,5200,Det@SA 04:00PM ET,0,Det
SF,Jeff Green,5100,Min@Mem 06:00PM ET,24.208,Mem
C,Tiago Splitter,5100,Mia@Atl 07:00PM ET,17.936,Atl
SF,Al-Farouq Aminu,5100,Uta@Por 09:00PM ET,16.905,Por
C,Timofey Mozgov,5100,Cle@Tor 06:00PM ET,23.042,Cle
SF,Marcus Morris,5000,Det@SA 04:00PM ET,21.12,Det
C,Meyers Leonard,5000,Uta@Por 09:00PM ET,14.079,Por
PG,Dennis Schroder,5000,Mia@Atl 07:00PM ET,19.298,Atl
PF,Patrick Patterson,4900,Cle@Tor 06:00PM ET,20.397,Tor
SF,Tony Allen,4800,Min@Mem 06:00PM ET,20.801,Mem
PG,Isaiah Canaan,4800,Phi@Bkn 01:00PM ET,16.303,Phi
SG,Dion Waiters,4800,Den@OKC 07:00PM ET,20.35,OKC
PF,David West,4700,Det@SA 04:00PM ET,27.413,SA
SF,Matt Barnes,4700,Min@Mem 06:00PM ET,20.681,Mem
SG,Courtney Lee,4700,Min@Mem 06:00PM ET,18.722,Mem
PG,Brandon Jennings,4700,Det@SA 04:00PM ET,30.89,Det
SF,Bojan Bogdanovic,4700,Phi@Bkn 01:00PM ET,15.238,Bkn
SG,Manu Ginóbili,4600,Det@SA 04:00PM ET,22.575,SA
SF,Rodney Hood,4600,Uta@Por 09:00PM ET,15.925,Uta
C,Steven Adams,4600,Den@OKC 07:00PM ET,21.475,OKC
PF,Brandan Wright,4500,Min@Mem 06:00PM ET,17.097,Mem
PF,Thomas Robinson,4500,Phi@Bkn 01:00PM ET,15.125,Bkn
SG,Hollis Thompson,4500,Phi@Bkn 01:00PM ET,16.782,Phi
PF,Nemanja Bjelica,4500,Min@Mem 06:00PM ET,0,Min
SF,Shabazz Muhammad,4500,Min@Mem 06:00PM ET,20.885,Min
SF,Jerami Grant,4500,Phi@Bkn 01:00PM ET,15,Phi
SG,Gerald Green,4400,Mia@Atl 07:00PM ET,18.615,Mia
SG,Tim Hardaway Jr.,4400,Mia@Atl 07:00PM ET,18.243,Atl
SF,Justise Winslow,4400,Mia@Atl 07:00PM ET,0,Mia
PG,Jameer Nelson,4300,Den@OKC 07:00PM ET,18.746,Den
PF,Luis Scola,4300,Cle@Tor 06:00PM ET,20.704,Tor
PG,Beno Udrih,4300,Min@Mem 06:00PM ET,14.975,Mem
C,Anderson Varejao,4300,Cle@Tor 06:00PM ET,22.135,Cle
PG,Cory Joseph,4300,Cle@Tor 06:00PM ET,14.111,Tor
PF,Kevin Garnett,4200,Min@Mem 06:00PM ET,19.484,Min
SF,James Johnson,4200,Cle@Tor 06:00PM ET,17.26,Tor
PF,Noah Vonleh,4200,Uta@Por 09:00PM ET,8.84,Por
PG,Patty Mills,4100,Det@SA 04:00PM ET,13.19,SA
SG,Vince Carter,4000,Min@Mem 06:00PM ET,12.442,Mem
PG,Andre Miller,4000,Min@Mem 06:00PM ET,12.361,Min
SG,Mike Miller,4000,Den@OKC 07:00PM ET,5.881,Den
SF,Richard Jefferson,4000,Cle@Tor 06:00PM ET,11.17,Cle
SF,Gerald Wallace,4000,Phi@Bkn 01:00PM ET,4.652,Phi
SG,Dahntay Jones,4000,Phi@Bkn 01:00PM ET,1.193,Bkn
PF,Matt Bonner,4000,Det@SA 04:00PM ET,7.054,SA
C,Nick Collison,4000,Den@OKC 07:00PM ET,12.515,OKC
SG,James Jones,4000,Cle@Tor 06:00PM ET,7.763,Cle
C,Earl Barron,4000,Mia@Atl 07:00PM ET,5.313,Atl
C,Chris Kaman,4000,Uta@Por 09:00PM ET,19.039,Por
PG,John Lucas III,4000,Mia@Atl 07:00PM ET,10.5,Mia
SF,Tayshaun Prince,4000,Min@Mem 06:00PM ET,15.931,Min
SG,Rasual Butler,4000,Det@SA 04:00PM ET,13.597,SA
SF,Steve Novak,4000,Den@OKC 07:00PM ET,3.371,OKC
C,Ryan Hollins,4000,Min@Mem 06:00PM ET,7.206,Mem
PF,Boris Diaw,4000,Det@SA 04:00PM ET,20.02,SA
SG,Yakhouba Diawara,4000,Min@Mem 06:00PM ET,0,Mem
PG,Tre Kelley,4000,Mia@Atl 07:00PM ET,0,Mia
PF,Anthony Tolliver,4000,Det@SA 04:00PM ET,12.822,Det
C,Sasha Kaun,4000,Cle@Tor 06:00PM ET,0,Cle
SG,Anthony Morrow,4000,Den@OKC 07:00PM ET,17.679,OKC
PF,Joel Anthony,4000,Det@SA 04:00PM ET,6.807,Det
C,Chris Daniels,4000,Phi@Bkn 01:00PM ET,0,Bkn
SG,Reggie Williams,4000,Det@SA 04:00PM ET,3.788,SA
C,Chris Johnson,4000,Cle@Tor 06:00PM ET,0,Cle
C,Aron Baynes,4000,Det@SA 04:00PM ET,13.297,Det
PG,Dionte Christmas,4000,Cle@Tor 06:00PM ET,0,Cle
SF,Devin Sweetney,4000,Den@OKC 07:00PM ET,0,Den
SF,Thabo Sefolosha,4000,Mia@Atl 07:00PM ET,15.62,Atl
PG,D.J. Augustin,4000,Den@OKC 07:00PM ET,19.351,OKC
SG,Wayne Ellington,4000,Phi@Bkn 01:00PM ET,17.869,Bkn
SF,Alex Stepheson,4000,Min@Mem 06:00PM ET,0,Mem
SG,Jodie Meeks,4000,Det@SA 04:00PM ET,17.5,Det
C,Kleon Penn,4000,Min@Mem 06:00PM ET,0,Min
C,Keith Benson,4000,Mia@Atl 07:00PM ET,0,Mia
SG,Elijah Millsap,4000,Uta@Por 09:00PM ET,13.766,Uta
SG,Justin Holiday,4000,Mia@Atl 07:00PM ET,8.273,Atl
PF,Omari Johnson,4000,Uta@Por 09:00PM ET,0,Por
PF,Justin Harper,4000,Phi@Bkn 01:00PM ET,0,Bkn
PF,Mike Scott,4000,Mia@Atl 07:00PM ET,13.712,Atl
SF,Kyle Singler,4000,Den@OKC 07:00PM ET,12.581,OKC
SG,Julyan Stone,4000,Den@OKC 07:00PM ET,0,OKC
PF,J.J. Hickson,4000,Den@OKC 07:00PM ET,17.945,Den
SF,Austin Daye,4000,Cle@Tor 06:00PM ET,8.164,Cle
PG,Jimmer Fredette,4000,Det@SA 04:00PM ET,6.74,SA
SG,Kent Bazemore,4000,Mia@Atl 07:00PM ET,12.662,Atl
C,Jeff Withey,4000,Uta@Por 09:00PM ET,6.284,Uta
PF,JaMychal Green,4000,Min@Mem 06:00PM ET,5.069,Mem
SF,Chris Johnson,4000,Uta@Por 09:00PM ET,11.371,Uta
PG,Shelvin Mack,4000,Mia@Atl 07:00PM ET,11.954,Atl
PG,Lorenzo Brown,4000,Min@Mem 06:00PM ET,13.81,Min
SG,Lamar Patterson,4000,Mia@Atl 07:00PM ET,0,Atl
PF,Talib Zanna,4000,Den@OKC 07:00PM ET,0,OKC
PG,Erick Green,4000,Den@OKC 07:00PM ET,6.215,Den
PF,Sampson Carter,4000,Min@Mem 06:00PM ET,0,Mem
PG,Jared Cunningham,4000,Cle@Tor 06:00PM ET,3.461,Cle
PG,Tim Frazier,4000,Uta@Por 09:00PM ET,14.538,Por
C,Mike Muscala,4000,Mia@Atl 07:00PM ET,10.435,Atl
SF,D.J. Stephens,4000,Cle@Tor 06:00PM ET,0,Cle
SG,Allen Crabbe,4000,Uta@Por 09:00PM ET,7.83,Por
SG,Andre Roberson,4000,Den@OKC 07:00PM ET,12.011,OKC
SG,Joe Harris,4000,Cle@Tor 06:00PM ET,4.509,Cle
C,Jordan Bachynski,4000,Det@SA 04:00PM ET,0,Det
PG,Corey Hawkins,4000,Mia@Atl 07:00PM ET,0,Mia
C,Tibor Pleiss,4000,Uta@Por 09:00PM ET,0,Uta
PF,Ronald Roberts,4000,Cle@Tor 06:00PM ET,0,Tor
SG,Will Barton,4000,Den@OKC 07:00PM ET,14.466,Den
PG,T.J. McConnell,4000,Phi@Bkn 01:00PM ET,0,Phi
PG,Lazeric Jones,4000,Min@Mem 06:00PM ET,0,Mem
PG,Scottie Wilbekin,4000,Phi@Bkn 01:00PM ET,0,Phi
PG,Phil Pressey,4000,Uta@Por 09:00PM ET,9.938,Por
SF,Reggie Bullock,4000,Det@SA 04:00PM ET,4.861,Det
SF,Deshaun Thomas,4000,Det@SA 04:00PM ET,0,SA
SG,Jordan McRae,4000,Phi@Bkn 01:00PM ET,0,Phi
PG,Russ Smith,4000,Min@Mem 06:00PM ET,3.821,Mem
SG,Joe Ingles,4000,Uta@Por 09:00PM ET,13.149,Uta
C,Boban Marjanovic,4000,Det@SA 04:00PM ET,0,SA
SF,Jonathon Simmons,4000,Det@SA 04:00PM ET,0,SA
PF,Adreian Payne,4000,Min@Mem 06:00PM ET,15.609,Min
PG,Ray McCallum,4000,Det@SA 04:00PM ET,16.125,SA
PF,Nick Minnerath,4000,Cle@Tor 06:00PM ET,0,Cle
PG,Bryce Cotton,4000,Uta@Por 09:00PM ET,8.7,Uta
C,Bismack Biyombo,4000,Cle@Tor 06:00PM ET,16.465,Tor
PG,Quinn Cook,4000,Cle@Tor 06:00PM ET,0,Cle
SF,Dez Wells,4000,Den@OKC 07:00PM ET,0,OKC
SG,Pat Connaughton,4000,Uta@Por 09:00PM ET,0,Por
SG,Darrun Hilliard,4000,Det@SA 04:00PM ET,0,Det
SG,James Ennis,4000,Mia@Atl 07:00PM ET,11.056,Mia
PG,Spencer Dinwiddie,4000,Det@SA 04:00PM ET,11.824,Det
SG,Nick Johnson,4000,Den@OKC 07:00PM ET,4.75,Den
SG,Josh Richardson,4000,Mia@Atl 07:00PM ET,0,Mia
PG,Pierre Jackson,4000,Phi@Bkn 01:00PM ET,0,Phi
SF,Quincy Miller,4000,Phi@Bkn 01:00PM ET,8.9,Bkn
PG,Ryan Boatright,4000,Phi@Bkn 01:00PM ET,0,Bkn
SG,Shannon Scott,4000,Cle@Tor 06:00PM ET,0,Tor
C,Youssou Ndoye,4000,Det@SA 04:00PM ET,0,SA
PF,Greg Whittington,4000,Mia@Atl 07:00PM ET,0,Mia
PF,Michale Kyser,4000,Cle@Tor 06:00PM ET,0,Tor
SG,Treveon Graham,4000,Uta@Por 09:00PM ET,0,Uta
SF,Maurice Harkless,4000,Uta@Por 09:00PM ET,8.922,Por
SG,Norman Powell,4000,Cle@Tor 06:00PM ET,0,Tor
PG,Keifer Sykes,4000,Det@SA 04:00PM ET,0,SA
SF,Terran Petteway,4000,Mia@Atl 07:00PM ET,0,Atl
PG,Shane Larkin,4000,Phi@Bkn 01:00PM ET,15.928,Bkn
PF,Jarnell Stokes,4000,Min@Mem 06:00PM ET,6.421,Mem
PF,Furkan Aldemir,4000,Phi@Bkn 01:00PM ET,10.098,Phi
SF,Sergey Karasev,4000,Phi@Bkn 01:00PM ET,10.561,Bkn
PF,Richaun Holmes,4000,Phi@Bkn 01:00PM ET,0,Phi
SG,Michael Qualls,4000,Den@OKC 07:00PM ET,0,OKC
SF,J.P. Tokoto,4000,Phi@Bkn 01:00PM ET,0,Phi
SF,Kyle Anderson,4000,Det@SA 04:00PM ET,7.47,SA
SF,Anthony Bennett,4000,Cle@Tor 06:00PM ET,12.535,Tor
SG,Nick Wiggins,4000,Min@Mem 06:00PM ET,0,Min
SF,DeQuan Jones,4000,Mia@Atl 07:00PM ET,0,Atl
SG,Gary Harris,4000,Den@OKC 07:00PM ET,7.182,Den
PG,Raul Neto,4000,Uta@Por 09:00PM ET,0,Uta
C,Joffrey Lauvergne,4000,Den@OKC 07:00PM ET,9.802,Den
PG,Delon Wright,4000,Cle@Tor 06:00PM ET,0,Tor
PF,Christian Wood,4000,Phi@Bkn 01:00PM ET,0,Phi
PG,Cameron Payne,4000,Den@OKC 07:00PM ET,0,OKC
SF,Bruno Caboclo,4000,Cle@Tor 06:00PM ET,1.688,Tor
C,Nikola Jokic,4000,Den@OKC 07:00PM ET,0,Den
C,Walter Tavares,4000,Mia@Atl 07:00PM ET,0,Atl
SF,Damjan Rudez,4000,Min@Mem 06:00PM ET,7.563,Min
PG,Tyus Jones,4000,Min@Mem 06:00PM ET,0,Min
PF,Trey Lyles,4000,Uta@Por 09:00PM ET,0,Uta
SF,Luis Montero,4000,Uta@Por 09:00PM ET,0,Por
SF,Axel Toupane,4000,Cle@Tor 06:00PM ET,0,Tor
